Brand,Voucher Details,Expiry Date,Time,Code,Offer Details,Terms & Conditions,Steps to avail,About the brand,Product GUID,Value,Product Service Name,Product Code
1mg Generic,N/A,N/A,N/A,N/A,N/A,"1.IMPORTANT – 1mg Generic GV / GC CANNOT be revalidated once expired or cancelled under any circumstances.
2.This is 1mg Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted on https://www.1mg.com/
3.The person who has the 1mg GV / GC Code is deemed to be the beneficiary.
4.1mg is not responsible if the Gift card is lost, stolen or used without permission.
5.Vouchers are valid for normal discount products and would not be applicable on clearance sale products.
6.Multiple GV / GC cannot be used in one bill/transaction.
7.Delivery charges will be as per the website.
8.This is a ONE time use GV / GC with an expiration date.
9.No credit note / refund for the unused balance amount of the GV / GC will be given.
10.Any such unused balance amount shall stand lapsed automatically.
11.1mg GV / GC vouchers cannot be clubbed with any other offer.
12.1mg GV / GC cannot be redeemed on specific block out dates as may be intimated / updated by 1mg on its website from time to time. 1mg may add or delete any date(s)/period(s) on its sole discretion without any liability.
13.Any dispute related to the GV / GC should be referred to the issuing company and the decision of the issuing company shall be final. In case of any legal disputes, the courts at New Delhi shall have the exclusive jurisdiction.
14.1mg shall on best effort basis attempt to accept Insta Gift Vouchers (GV) / Gift Card (GC), but on account of any technical reason or for any reason beyond control of 1mg, GV / GC may not get accepted on the website and 1mg shall have no liability for the same.
15.If an Insta Gift Voucher (GV) /Gift Card (GC) gets blocked on account of technical issue, it would get enabled in 72 hours. In case of transaction failures after Insta Gift Voucher (GV) / Gift Card (GC) is applied, amount would be automatically refunded to the same cards within 48 hours
16.1mg reserves the right to change or modify these Terms for the Insta Gift Voucher (GV) / Gift Card (GC) at any time or any policy or guideline of the Website including the Privacy Policy, at any time and in its sole discretion.
17.1mg has the final authority on the interpretation of these rules.
18.1mg reserves the right to withdraw Insta Gift Voucher (GV) / Gift Card (GC) scheme/offer before the completion of validity period without any notice or liability at its sole discretion.
19.1mg reserves the right to deny accepting any Insta Gift Voucher (GV) / Gift Card (GC), if it suspects that there is duplicity of cards.
20.In no event the liability of 1mg for any claims shall exceed the value of the Insta Gift Voucher (GV) / Gift Card (GC) in dispute
21.For any queries / issues related to GV / GC, raise a request at www.gvhelpdesk.com","User visits https://www.1mg.com/ (for medicines & Health products)
Login using his/her phone number and email id
Upload the valid prescription and select the medicines to add to the cart
Once the cart is ready, go on the checkout page and apply the Voucher
Move forward with the selection of the payment mode (Cash on delivery or prepaid)
The order will be completed by 1mg.com post which the 1mg cash will be credited to the user's account","1mg is India's leading digital healthcare platform. From doctor consultations on chat to online pharmacy and lab tests at home: we have it all covered for you. Having delivered over 25 million orders in 1000+ cities till date, we are on a mission to bring ""care"" to ""health"" to give you a flawless healthcare experience.",7FD20AFF-C030-4039-858D-017C1CE22C26,250,1mg INR 250,MGG250
1mg Generic,N/A,N/A,N/A,N/A,N/A,"1.IMPORTANT – 1mg Generic GV / GC CANNOT be revalidated once expired or cancelled under any circumstances.
2.This is 1mg Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted on https://www.1mg.com/
3.The person who has the 1mg GV / GC Code is deemed to be the beneficiary.
4.1mg is not responsible if the Gift card is lost, stolen or used without permission.
5.Vouchers are valid for normal discount products and would not be applicable on clearance sale products.
6.Multiple GV / GC cannot be used in one bill/transaction.
7.Delivery charges will be as per the website.
8.This is a ONE time use GV / GC with an expiration date.
9.No credit note / refund for the unused balance amount of the GV / GC will be given.
10.Any such unused balance amount shall stand lapsed automatically.
11.1mg GV / GC vouchers cannot be clubbed with any other offer.
12.1mg GV / GC cannot be redeemed on specific block out dates as may be intimated / updated by 1mg on its website from time to time. 1mg may add or delete any date(s)/period(s) on its sole discretion without any liability.
13.Any dispute related to the GV / GC should be referred to the issuing company and the decision of the issuing company shall be final. In case of any legal disputes, the courts at New Delhi shall have the exclusive jurisdiction.
14.1mg shall on best effort basis attempt to accept Insta Gift Vouchers (GV) / Gift Card (GC), but on account of any technical reason or for any reason beyond control of 1mg, GV / GC may not get accepted on the website and 1mg shall have no liability for the same.
15.If an Insta Gift Voucher (GV) /Gift Card (GC) gets blocked on account of technical issue, it would get enabled in 72 hours. In case of transaction failures after Insta Gift Voucher (GV) / Gift Card (GC) is applied, amount would be automatically refunded to the same cards within 48 hours
16.1mg reserves the right to change or modify these Terms for the Insta Gift Voucher (GV) / Gift Card (GC) at any time or any policy or guideline of the Website including the Privacy Policy, at any time and in its sole discretion.
17.1mg has the final authority on the interpretation of these rules.
18.1mg reserves the right to withdraw Insta Gift Voucher (GV) / Gift Card (GC) scheme/offer before the completion of validity period without any notice or liability at its sole discretion.
19.1mg reserves the right to deny accepting any Insta Gift Voucher (GV) / Gift Card (GC), if it suspects that there is duplicity of cards.
20.In no event the liability of 1mg for any claims shall exceed the value of the Insta Gift Voucher (GV) / Gift Card (GC) in dispute
21.For any queries / issues related to GV / GC, raise a request at www.gvhelpdesk.com","User visits https://www.1mg.com/ (for medicines & Health products)
Login using his/her phone number and email id
Upload the valid prescription and select the medicines to add to the cart
Once the cart is ready, go on the checkout page and apply the Voucher
Move forward with the selection of the payment mode (Cash on delivery or prepaid)
The order will be completed by 1mg.com post which the 1mg cash will be credited to the user's account","1mg is India's leading digital healthcare platform. From doctor consultations on chat to online pharmacy and lab tests at home: we have it all covered for you. Having delivered over 25 million orders in 1000+ cities till date, we are on a mission to bring ""care"" to ""health"" to give you a flawless healthcare experience.",F6C52B08-D56E-4BE9-B862-8D32C635346D,500,1mg INR 500,MGG500
1mg Generic,N/A,N/A,N/A,N/A,N/A,"1.IMPORTANT – 1mg Generic GV / GC CANNOT be revalidated once expired or cancelled under any circumstances.
2.This is 1mg Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted on https://www.1mg.com/
3.The person who has the 1mg GV / GC Code is deemed to be the beneficiary.
4.1mg is not responsible if the Gift card is lost, stolen or used without permission.
5.Vouchers are valid for normal discount products and would not be applicable on clearance sale products.
6.Multiple GV / GC cannot be used in one bill/transaction.
7.Delivery charges will be as per the website.
8.This is a ONE time use GV / GC with an expiration date.
9.No credit note / refund for the unused balance amount of the GV / GC will be given.
10.Any such unused balance amount shall stand lapsed automatically.
11.1mg GV / GC vouchers cannot be clubbed with any other offer.
12.1mg GV / GC cannot be redeemed on specific block out dates as may be intimated / updated by 1mg on its website from time to time. 1mg may add or delete any date(s)/period(s) on its sole discretion without any liability.
13.Any dispute related to the GV / GC should be referred to the issuing company and the decision of the issuing company shall be final. In case of any legal disputes, the courts at New Delhi shall have the exclusive jurisdiction.
14.1mg shall on best effort basis attempt to accept Insta Gift Vouchers (GV) / Gift Card (GC), but on account of any technical reason or for any reason beyond control of 1mg, GV / GC may not get accepted on the website and 1mg shall have no liability for the same.
15.If an Insta Gift Voucher (GV) /Gift Card (GC) gets blocked on account of technical issue, it would get enabled in 72 hours. In case of transaction failures after Insta Gift Voucher (GV) / Gift Card (GC) is applied, amount would be automatically refunded to the same cards within 48 hours
16.1mg reserves the right to change or modify these Terms for the Insta Gift Voucher (GV) / Gift Card (GC) at any time or any policy or guideline of the Website including the Privacy Policy, at any time and in its sole discretion.
17.1mg has the final authority on the interpretation of these rules.
18.1mg reserves the right to withdraw Insta Gift Voucher (GV) / Gift Card (GC) scheme/offer before the completion of validity period without any notice or liability at its sole discretion.
19.1mg reserves the right to deny accepting any Insta Gift Voucher (GV) / Gift Card (GC), if it suspects that there is duplicity of cards.
20.In no event the liability of 1mg for any claims shall exceed the value of the Insta Gift Voucher (GV) / Gift Card (GC) in dispute
21.For any queries / issues related to GV / GC, raise a request at www.gvhelpdesk.com","User visits https://www.1mg.com/ (for medicines & Health products)
Login using his/her phone number and email id
Upload the valid prescription and select the medicines to add to the cart
Once the cart is ready, go on the checkout page and apply the Voucher
Move forward with the selection of the payment mode (Cash on delivery or prepaid)
The order will be completed by 1mg.com post which the 1mg cash will be credited to the user's account","1mg is India's leading digital healthcare platform. From doctor consultations on chat to online pharmacy and lab tests at home: we have it all covered for you. Having delivered over 25 million orders in 1000+ cities till date, we are on a mission to bring ""care"" to ""health"" to give you a flawless healthcare experience.",CF1B39C5-EC78-4BD5-A172-358D6F71F974,1000,1mg INR 1000,MGG1000
MORE,N/A,N/A,N/A,N/A,N/A,"1.This is a More Insta Gift Voucher (GV) and would be accepted only at listed outlets of More Retail Limited. (For Outlet List, please visit www.gyftr.com/More)
2.The person who has valid More GV with Code and holder of the Instant Gift Voucher is deemed to be the beneficiary
3.This GV cannot be redeemed online.
4.Beneficiary should announce the intent of using the GV before making a payment before billing.
5.More GV can be used to purchase discounted products.
6.GV will be accepted only the listed More outlets and More at its sole discretion may add or remove an outlet from the list without giving any prior notice
7.Multiple GV can be used in one bill.
8.This is a ONE time use GV. Partial redemption is not allowed and no refund or credit note would be issued against an unused GV.
9.More GV / GC CANNOT be revalidated once expired. For expiry period please check your account while registering. It is user’s responsibility to keep track of expiry.
10.More GV cannot be redeemed on specific block out dates. More may add or delete any date on its sole discretion.
11.More or its affiliates are not responsible on account of the beneficiary sharing the GV code and the voucher getting redeemed on that account
12.The brand (more) may ask for a valid Government identity proof at the time of redeeming the voucher
13.More or any of its partners would not be liable to pay any form of compensation etc. on account of an outlet not being able to accept GV. The customer would be liable to settle the bill
14.Any dispute related to the GV should be referred to the issuing company and the decision of the issuing company shall be final.
15.More makes full efforts to accept Insta Gift Vouchers (GV) but on account of any technical / administrative reasons an outlet may refuse to accept the same.
16.If an Insta Gift Voucher (GV) gets blocked on account of technical issue, it would get enabled in 72 hours.
17.All disputes are subject to the exclusive jurisdiction of the Courts of Mumbai
18.Please contact Shop manager for any acceptance issue and if issue is still not resolved, you can write in to bit.ly/2CsY6BX or call 18001033314 for immediate help",Select your choice of product. 3 Share your Gift Voucher at the time of billing & pay the remaining amount by cash or card if required.,"One of the largest retail chains in India, More Supermarket is the favourite shopping destination of many families across the country. From fresh fruits & veggies and dairy products to personal care products and clothing items, you can get everything at these outlets. More Supermarket gift cards and gift vouchers are available at discounted prices from Gyftr. These More vouchers can be redeemed without any hassle at an outlet near you.",27F4B8D6-7D3F-4B76-8358-1BB2EF2860B8,100,MORE INR 100,MOGV100
MORE,N/A,N/A,N/A,N/A,N/A,"1.This is a More Insta Gift Voucher (GV) and would be accepted only at listed outlets of More Retail Limited. (For Outlet List, please visit www.gyftr.com/More)
2.The person who has valid More GV with Code and holder of the Instant Gift Voucher is deemed to be the beneficiary
3.This GV cannot be redeemed online.
4.Beneficiary should announce the intent of using the GV before making a payment before billing.
5.More GV can be used to purchase discounted products.
6.GV will be accepted only the listed More outlets and More at its sole discretion may add or remove an outlet from the list without giving any prior notice
7.Multiple GV can be used in one bill.
8.This is a ONE time use GV. Partial redemption is not allowed and no refund or credit note would be issued against an unused GV.
9.More GV / GC CANNOT be revalidated once expired. For expiry period please check your account while registering. It is user’s responsibility to keep track of expiry.
10.More GV cannot be redeemed on specific block out dates. More may add or delete any date on its sole discretion.
11.More or its affiliates are not responsible on account of the beneficiary sharing the GV code and the voucher getting redeemed on that account
12.The brand (more) may ask for a valid Government identity proof at the time of redeeming the voucher
13.More or any of its partners would not be liable to pay any form of compensation etc. on account of an outlet not being able to accept GV. The customer would be liable to settle the bill
14.Any dispute related to the GV should be referred to the issuing company and the decision of the issuing company shall be final.
15.More makes full efforts to accept Insta Gift Vouchers (GV) but on account of any technical / administrative reasons an outlet may refuse to accept the same.
16.If an Insta Gift Voucher (GV) gets blocked on account of technical issue, it would get enabled in 72 hours.
17.All disputes are subject to the exclusive jurisdiction of the Courts of Mumbai
18.Please contact Shop manager for any acceptance issue and if issue is still not resolved, you can write in to bit.ly/2CsY6BX or call 18001033314 for immediate help",Select your choice of product. 3 Share your Gift Voucher at the time of billing & pay the remaining amount by cash or card if required.,"One of the largest retail chains in India, More Supermarket is the favourite shopping destination of many families across the country. From fresh fruits & veggies and dairy products to personal care products and clothing items, you can get everything at these outlets. More Supermarket gift cards and gift vouchers are available at discounted prices from Gyftr. These More vouchers can be redeemed without any hassle at an outlet near you.",F23CD951-F854-49B4-8891-BC2715EB1747,250,MORE INR 250,MOGV250
MORE,N/A,N/A,N/A,N/A,N/A,"1.This is a More Insta Gift Voucher (GV) and would be accepted only at listed outlets of More Retail Limited. (For Outlet List, please visit www.gyftr.com/More)
2.The person who has valid More GV with Code and holder of the Instant Gift Voucher is deemed to be the beneficiary
3.This GV cannot be redeemed online.
4.Beneficiary should announce the intent of using the GV before making a payment before billing.
5.More GV can be used to purchase discounted products.
6.GV will be accepted only the listed More outlets and More at its sole discretion may add or remove an outlet from the list without giving any prior notice
7.Multiple GV can be used in one bill.
8.This is a ONE time use GV. Partial redemption is not allowed and no refund or credit note would be issued against an unused GV.
9.More GV / GC CANNOT be revalidated once expired. For expiry period please check your account while registering. It is user’s responsibility to keep track of expiry.
10.More GV cannot be redeemed on specific block out dates. More may add or delete any date on its sole discretion.
11.More or its affiliates are not responsible on account of the beneficiary sharing the GV code and the voucher getting redeemed on that account
12.The brand (more) may ask for a valid Government identity proof at the time of redeeming the voucher
13.More or any of its partners would not be liable to pay any form of compensation etc. on account of an outlet not being able to accept GV. The customer would be liable to settle the bill
14.Any dispute related to the GV should be referred to the issuing company and the decision of the issuing company shall be final.
15.More makes full efforts to accept Insta Gift Vouchers (GV) but on account of any technical / administrative reasons an outlet may refuse to accept the same.
16.If an Insta Gift Voucher (GV) gets blocked on account of technical issue, it would get enabled in 72 hours.
17.All disputes are subject to the exclusive jurisdiction of the Courts of Mumbai
18.Please contact Shop manager for any acceptance issue and if issue is still not resolved, you can write in to bit.ly/2CsY6BX or call 18001033314 for immediate help",Select your choice of product. 3 Share your Gift Voucher at the time of billing & pay the remaining amount by cash or card if required.,"One of the largest retail chains in India, More Supermarket is the favourite shopping destination of many families across the country. From fresh fruits & veggies and dairy products to personal care products and clothing items, you can get everything at these outlets. More Supermarket gift cards and gift vouchers are available at discounted prices from Gyftr. These More vouchers can be redeemed without any hassle at an outlet near you.",BDDD510B-EA5B-4793-B354-3255B42035FD,500,MORE INR 500,MOGV500
MORE,N/A,N/A,N/A,N/A,N/A,"1.This is a More Insta Gift Voucher (GV) and would be accepted only at listed outlets of More Retail Limited. (For Outlet List, please visit www.gyftr.com/More)
2.The person who has valid More GV with Code and holder of the Instant Gift Voucher is deemed to be the beneficiary
3.This GV cannot be redeemed online.
4.Beneficiary should announce the intent of using the GV before making a payment before billing.
5.More GV can be used to purchase discounted products.
6.GV will be accepted only the listed More outlets and More at its sole discretion may add or remove an outlet from the list without giving any prior notice
7.Multiple GV can be used in one bill.
8.This is a ONE time use GV. Partial redemption is not allowed and no refund or credit note would be issued against an unused GV.
9.More GV / GC CANNOT be revalidated once expired. For expiry period please check your account while registering. It is user’s responsibility to keep track of expiry.
10.More GV cannot be redeemed on specific block out dates. More may add or delete any date on its sole discretion.
11.More or its affiliates are not responsible on account of the beneficiary sharing the GV code and the voucher getting redeemed on that account
12.The brand (more) may ask for a valid Government identity proof at the time of redeeming the voucher
13.More or any of its partners would not be liable to pay any form of compensation etc. on account of an outlet not being able to accept GV. The customer would be liable to settle the bill
14.Any dispute related to the GV should be referred to the issuing company and the decision of the issuing company shall be final.
15.More makes full efforts to accept Insta Gift Vouchers (GV) but on account of any technical / administrative reasons an outlet may refuse to accept the same.
16.If an Insta Gift Voucher (GV) gets blocked on account of technical issue, it would get enabled in 72 hours.
17.All disputes are subject to the exclusive jurisdiction of the Courts of Mumbai
18.Please contact Shop manager for any acceptance issue and if issue is still not resolved, you can write in to bit.ly/2CsY6BX or call 18001033314 for immediate help",Select your choice of product. 3 Share your Gift Voucher at the time of billing & pay the remaining amount by cash or card if required.,"One of the largest retail chains in India, More Supermarket is the favourite shopping destination of many families across the country. From fresh fruits & veggies and dairy products to personal care products and clothing items, you can get everything at these outlets. More Supermarket gift cards and gift vouchers are available at discounted prices from Gyftr. These More vouchers can be redeemed without any hassle at an outlet near you.",02A46DC6-69AA-4ACD-9B15-645E3B5AD36F,1000,MORE INR 1000,MOGV1000
Baskin Robbins,N/A,N/A,N/A,N/A,N/A,"1.This is a Baskin Robbins Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted at listed outlets. (For Outlet List, please visit www.gyftr.com/br )
2.The person who has the Baskin Robbins GV / GC Code is deemed to be the beneficiary.
3.Do inform the cashier that you plan to use the GV / GC for making payments before billing.
4.Gift Vouchers are not valid on discounted items, merchandise, cakes, sticks and pre-packed sundaes.
5.Gift Vouchers are can be redeemed only in select parlors. Not valid at non-connected parlors, multiplexes, airports, shop-in-shops and select food courts where payments are made using food court cash cards
6.Gift Vouchers cannot be used in conjunction with any other offers/schemes running at parlors
7.Only the listed Baskin Robbins outlets at its sole discretion accept the GV / GC. Baskin Robbins may add or remove an outlet without giving any prior notice.
8.More than one GV / GC can be used in one bill.
9.This is a ONE time use GV / GC.
10.No Credit note / Refund for the unused amount of the GV / GC will be given.
11.Baskin Robbins GV / GC CANNOT be revalidated once expired.
12.Baskin Robbins GV / GC cannot be redeemed on specific block out dates. Baskin Robbins may add or delete any date on its sole discretion.
13.Any dispute related to the GV / GC should be referred to the issuing company and the decision of the issuing company shall be final.
14.Baskin Robbins makes full efforts to accept Insta Gift Vouchers (GV) / Gift Card (GC), but on account of any technical / administrative reasons an outlet may refuse to accept the same.
15.If an Insta Gift Voucher (GV) /Gift Card (GC) gets blocked on account of technical issue, it would get enabled in 72 hours.
16.Please contact Shop manager for any acceptance issue and if issue is still not resolved, you can write in to bit.ly/2CsY6BX or call 18001033314 for immediate help.",1. Visit the restaurant mentioned in your Gift Voucher. Inform the cashier about the Gift Voucher before ordering food.,"Indulge in the sweetness of ice-creams, shakes, cakes, pies, and more! Baskin Robbins, the world’s largest ice cream specialty chain, is serving world-class flavors to its customers. Use Baskin Robbin's gift cards and gift vouchers and pamper your taste buds with discounted deals.",19C28212-E334-4B42-95A1-290B9FF4378D,100,BR INR 100,BRV100
Baskin Robbins,N/A,N/A,N/A,N/A,N/A,"1.This is a Baskin Robbins Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted at listed outlets. (For Outlet List, please visit www.gyftr.com/br )
2.The person who has the Baskin Robbins GV / GC Code is deemed to be the beneficiary.
3.Do inform the cashier that you plan to use the GV / GC for making payments before billing.
4.Gift Vouchers are not valid on discounted items, merchandise, cakes, sticks and pre-packed sundaes.
5.Gift Vouchers are can be redeemed only in select parlors. Not valid at non-connected parlors, multiplexes, airports, shop-in-shops and select food courts where payments are made using food court cash cards
6.Gift Vouchers cannot be used in conjunction with any other offers/schemes running at parlors
7.Only the listed Baskin Robbins outlets at its sole discretion accept the GV / GC. Baskin Robbins may add or remove an outlet without giving any prior notice.
8.More than one GV / GC can be used in one bill.
9.This is a ONE time use GV / GC.
10.No Credit note / Refund for the unused amount of the GV / GC will be given.
11.Baskin Robbins GV / GC CANNOT be revalidated once expired.
12.Baskin Robbins GV / GC cannot be redeemed on specific block out dates. Baskin Robbins may add or delete any date on its sole discretion.
13.Any dispute related to the GV / GC should be referred to the issuing company and the decision of the issuing company shall be final.
14.Baskin Robbins makes full efforts to accept Insta Gift Vouchers (GV) / Gift Card (GC), but on account of any technical / administrative reasons an outlet may refuse to accept the same.
15.If an Insta Gift Voucher (GV) /Gift Card (GC) gets blocked on account of technical issue, it would get enabled in 72 hours.
16.Please contact Shop manager for any acceptance issue and if issue is still not resolved, you can write in to bit.ly/2CsY6BX or call 18001033314 for immediate help.",1. Visit the restaurant mentioned in your Gift Voucher. Inform the cashier about the Gift Voucher before ordering food.,"Indulge in the sweetness of ice-creams, shakes, cakes, pies, and more! Baskin Robbins, the world’s largest ice cream specialty chain, is serving world-class flavors to its customers. Use Baskin Robbin's gift cards and gift vouchers and pamper your taste buds with discounted deals.",E74429D8-002C-4309-A982-77FF8554B76F,250,BR INR  250,BRV250
Baskin Robbins,N/A,N/A,N/A,N/A,N/A,"1.This is a Baskin Robbins Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted at listed outlets. (For Outlet List, please visit www.gyftr.com/br )
2.The person who has the Baskin Robbins GV / GC Code is deemed to be the beneficiary.
3.Do inform the cashier that you plan to use the GV / GC for making payments before billing.
4.Gift Vouchers are not valid on discounted items, merchandise, cakes, sticks and pre-packed sundaes.
5.Gift Vouchers are can be redeemed only in select parlors. Not valid at non-connected parlors, multiplexes, airports, shop-in-shops and select food courts where payments are made using food court cash cards
6.Gift Vouchers cannot be used in conjunction with any other offers/schemes running at parlors
7.Only the listed Baskin Robbins outlets at its sole discretion accept the GV / GC. Baskin Robbins may add or remove an outlet without giving any prior notice.
8.More than one GV / GC can be used in one bill.
9.This is a ONE time use GV / GC.
10.No Credit note / Refund for the unused amount of the GV / GC will be given.
11.Baskin Robbins GV / GC CANNOT be revalidated once expired.
12.Baskin Robbins GV / GC cannot be redeemed on specific block out dates. Baskin Robbins may add or delete any date on its sole discretion.
13.Any dispute related to the GV / GC should be referred to the issuing company and the decision of the issuing company shall be final.
14.Baskin Robbins makes full efforts to accept Insta Gift Vouchers (GV) / Gift Card (GC), but on account of any technical / administrative reasons an outlet may refuse to accept the same.
15.If an Insta Gift Voucher (GV) /Gift Card (GC) gets blocked on account of technical issue, it would get enabled in 72 hours.
16.Please contact Shop manager for any acceptance issue and if issue is still not resolved, you can write in to bit.ly/2CsY6BX or call 18001033314 for immediate help.",1. Visit the restaurant mentioned in your Gift Voucher. Inform the cashier about the Gift Voucher before ordering food.,"Indulge in the sweetness of ice-creams, shakes, cakes, pies, and more! Baskin Robbins, the world’s largest ice cream specialty chain, is serving world-class flavors to its customers. Use Baskin Robbin's gift cards and gift vouchers and pamper your taste buds with discounted deals.",4B94E550-7548-4974-B0CC-4F8A46996460,500,BR INR 500,BRV500
